Date,Product,ProductClean,VendorFinal,OG/CV,Location,volume_unit
7/7/2025,Red Bell 11lb,Red Bell 11lb,Nature Fresh,0.0,Leamington,pallet
7/7/2025,Red Bell 11lb,Red Bell 11lb,First Choice,0.0,Florida,pallet
7/7/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Red Bell 11lb,Red Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Red Bell 11lb,Red Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Red Bell 11lb,Red Bell 11lb,First Choice,0.0,Florida,pallet
7/7/2025,Pineapple,Pineapple,Covilli,1.0,Nogales,case
7/7/2025,Pineapple,Pineapple,Chula,0.0,Texas,pallet
7/7/2025,Pineapple,Pineapple,Peakopia LLC,0.0,Texas,pallet
7/7/2025,Pineapple,Pineapple,Grande Produce,0.0,Texas,pallet
7/7/2025,Pineapple,Pineapple,Chula,0.0,Texas,
7/7/2025,Pineapple,Pineapple,Peakopia LLC,0.0,Texas,pallet
7/7/2025,Pineapple,Pineapple,Grande Produce,0.0,Texas,pallet
7/7/2025,Pineapple,Pineapple,Verafruit,0.0,Texas,
7/7/2025,Pineapple,Pineapple,Chula,0.0,Texas,
7/7/2025,Pineapple,Pineapple,Peakopia LLC,0.0,Texas,pallet
7/7/2025,Pineapple,Pineapple,Kingston,0.0,PA,pallet
7/7/2025,Pineapple,Pineapple,Verafruit,0.0,Texas,
7/7/2025,Pineapple,Pineapple,Chula,0.0,Texas,
7/7/2025,Pineapple,Pineapple,Peakopia LLC,0.0,Texas,pallet
7/7/2025,Pineapple Crownless,Pineapple Crownless,Kingston,0.0,Tampa,
7/7/2025,Persian,Persian,"Produce Team, LLC.",1.0,Texas,pallet
7/7/2025,Persian,Persian,Flavor Choice LLC,0.0,San Diego,pallet
7/7/2025,Persian,Persian,Flavor Choice LLC,1.0,San Diego,pallet
7/7/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Orange Bell 11lb,Orange Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Orange Bell 11lb,Orange Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Orange Bell 11lb,Orange Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Orange Bell 11lb,Orange Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Mini Sweets,Mini Sweets,Divine,0.0,Nogales,pallet
7/7/2025,Lemon Choice,Lemon Choice,Santis,0.0,Texas,case
7/7/2025,Heirloom,Heirloom,WHOLESUM,1.0,Nogales,pallet
7/7/2025,Grape,Grape,Kaliroy,0.0,Texas,pallet
7/7/2025,Grape,Grape,Kaliroy,0.0,Texas,pallet
7/7/2025,European,European,"Produce Team, LLC.",1.0,Texas,pallet
7/7/2025,European,European,WHOLESUM,1.0,Nogales,pallet
7/7/2025,Eggplant,Eggplant,Trison,0.0,Ontario Leamington,case
7/7/2025,Butternut,Butternut,Bridges,1.0,Nogales,case
7/7/2025,Butternut,Butternut,Vegfresh,1.0,Nogales,case
7/7/2025,Butternut,Butternut,Bridges,1.0,Nogales,
7/7/2025,Butternut,Butternut,Vegfresh,1.0,Nogales,case
7/7/2025,Butternut,Butternut,Bridges,1.0,Nogales,
7/7/2025,Butternut,Butternut,Vegfresh,1.0,Nogales,case
7/8/2025,Yellow Bell 11lb,Yellow Bell 11lb,Franks,1.0,nogales,case
7/8/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,TOV,TOV,REDSUN,0.0,texas,
7/8/2025,TOV,TOV,VILLAGE FARMS,0.0,FORT WORTH,
7/8/2025,Spaghetti,Spaghetti,vegfresh,1.0,nogales,case
7/8/2025,Spaghetti,Spaghetti,vegfresh,1.0,nogales,case
7/8/2025,Spaghetti,Spaghetti,vegfresh,1.0,nogales,case
7/8/2025,Slicer,Slicer,ART MX LLC,0.0,texas,pallet
7/8/2025,Slicer,Slicer,ART MX LLC,0.0,texas,pallet
7/8/2025,Slicer,Slicer,ART MX LLC,0.0,texas,pallet
7/8/2025,Round ,Round ,KINGDOM,0.0,texas,pallet
7/8/2025,Round ,Round ,KINGDOM,0.0,texas,pallet
7/8/2025,Round ,Round ,KINGDOM,0.0,texas,pallet
7/8/2025,Round 2L,Round 2L,KINGDOM,0.0,texas,pallet
7/8/2025,Roma,Roma,KALIROY,0.0,SAN DIEGO,pallet
7/8/2025,Roma,Roma,HM,0.0,texas,pallet
7/8/2025,Roma,Roma,KALIROY,0.0,SAN DIEGO,pallet
7/8/2025,Roma,Roma,KINGDOM,0.0,texas,pallet
7/8/2025,Roma,Roma,HM,0.0,texas,pallet
7/8/2025,Roma,Roma,KALIROY,0.0,SAN DIEGO,pallet
7/8/2025,Red Bell 11lb,Red Bell 11lb,Franks,1.0,nogales,case
7/8/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Orange Bell 11lb,Orange Bell 11lb,Franks,1.0,nogales,case
7/8/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,texas,case
7/8/2025,Heirloom,Heirloom,wholesum,1.0,nogales,
7/8/2025,Heirloom,Heirloom,wholesum,1.0,nogales,
7/8/2025,Grape,Grape,WONDERFIELD,0.0,texas,pallet
7/8/2025,Grape,Grape,KALIROY,0.0,texas,pallet
7/8/2025,Grape,Grape,WONDERFIELD,1.0,texas,pallet
7/8/2025,European,European,wholesum,1.0,nogales,
7/8/2025,Cherry Tomato,Cherry Tomatoes,REDSUN,0.0,texas,case
7/8/2025,Butternut,Butternut,vegfresh,1.0,nogales,case
7/8/2025,Butternut,Butternut,vegfresh,1.0,nogales,case
7/8/2025,Butternut,Butternut,vegfresh,1.0,nogales,case
7/8/2025,Beef Steak Tomato,Beef Steak Tomato,REDSUN,0.0,texas,case
7/8/2025,Beef Steak Tomato,Beef Steak Tomato,TOPLINE,0.0,CANADA,
7/8/2025,Beef Steak Tomato,Beef Steak Tomato,VILLAGE FARMS,0.0,FORT WORTH,
7/9/2025,Zucchini,Zucchini,Del cabo,1.0,Los Angeles,case
7/9/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,case
7/9/2025,Zucchini,Zucchini,Better Produce Inc,0.0,Santa María,pallet
7/9/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,case
7/9/2025,Zucchini,Zucchini,Del cabo,1.0,Los Angeles,case
7/9/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,case
7/9/2025,Yellow Squash,Yellow Squash,ASL PRODUCE,0.0,Texas,case
7/9/2025,Yellow Squash,Yellow Squash,ASL PRODUCE,0.0,Texas,case
7/9/2025,Yellow Squash,Yellow Squash,Better Produce Inc,0.0,Santa María,pallet
7/9/2025,Yellow Bell 11lb,Yellow Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,Yellow Bell 11lb,Yellow Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,Yellow Bell 11lb,Yellow Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,Yellow Bell 11lb,Yellow Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,TOV,TOV,REDSUN,0.0,Texas,load
7/9/2025,Slicer,Slicer,ART MX LLC,0.0,Texas,pallet
7/9/2025,Slicer,Slicer,Harvest Best LLC,0.0,Texas,pallet
7/9/2025,Slicer,Slicer,ART MX LLC,0.0,Texas,pallet
7/9/2025,Round ,Round ,KALIROY,0.0,Texas,
7/9/2025,Round ,Round ,Kingdom,0.0,Texas,pallet
7/9/2025,Round ,Round ,KALIROY,0.0,Texas,
7/9/2025,Round 2L,Round 2L,Kingdom,0.0,Texas,pallet
7/9/2025,Round 2L,Round 2L,Kingdom,0.0,Texas,pallet
7/9/2025,Roma,Roma,KALIROY,0.0,Texas,pallet
7/9/2025,Roma,Roma,KALIROY,0.0,San Diego,pallet
7/9/2025,Roma,Roma,KALIROY,0.0,San Diego,pallet
7/9/2025,Roma,Roma,Harvest Master LLC,0.0,Texas,load
7/9/2025,Roma,Roma,KALIROY,0.0,San Diego,pallet
7/9/2025,Red Bell 11lb,Red Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,Red Bell 11lb,Red Bell 11lb,VILLAGE FARMS,0.0,Texas,case
7/9/2025,Red Bell 11lb,Red Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,Red Bell 11lb,Red Bell 11lb,Red sun,0.0,Leamington,case
7/9/2025,Medley ,Medley ,REDSUN,0.0,Texas,case
7/9/2025,Heirloom,Heirloom,WHOLESUM,1.0,Nogales,pallet
7/9/2025,Heirloom,Heirloom,REDSUN,0.0,Texas,pallet
7/9/2025,Gray,Gray,ASL PRODUCE,0.0,Texas,case
7/9/2025,Gray,Gray,ASL PRODUCE,0.0,Texas,case
7/9/2025,Grape,Grape,Pacific tomato,0.0,midway,pallet
7/9/2025,Grape,Grape,Kingdom,0.0,Texas,pallet
7/9/2025,Grape,Grape,KALIROY,0.0,Texas,pallet
7/9/2025,Grape,Grape,Pacific tomato,0.0,midway,pallet
7/9/2025,European,European,WHOLESUM,1.0,Nogales,
7/9/2025,Butternut,Butternut,Vegfresh,0.0,Nogales,
7/10/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,pallet
7/10/2025,Zucchini,Zucchini,Kingdom,0.0,TEXAS,pallet
7/10/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,pallet
7/10/2025,Zucchini,Zucchini,Kingdom,0.0,TEXAS,pallet
7/10/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,pallet
7/10/2025,Yellow Bell 25lb,Yellow Bell 25lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,"Fresh Direct, Inc.",0.0,TEXAS,pallet
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,Franks,0.0,TEXAS,pallet
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Yellow Bell 11lb,Yellow Bell 11lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,TOV,TOV,REDSUN,0.0,TEXAS,
7/10/2025,Slicer,Slicer,KINGDOM,0.0,TEXAS,pallet
7/10/2025,Slicer,Slicer,ART MX LLC,0.0,TEXAS,pallet
7/10/2025,Slicer,Slicer,crownjewels,0.0,nogales,load
7/10/2025,Slicer,Slicer,crownjewels,0.0,nogales,load
7/10/2025,Slicer,Slicer,Kingdom,0.0,TEXAS,pallet
7/10/2025,Slicer,Slicer,Chula,0.0,TEXAS,pallet
7/10/2025,Slicer,Slicer,Kingdom,0.0,TEXAS,pallet
7/10/2025,Slicer,Slicer,ART MX LLC,0.0,TEXAS,pallet
7/10/2025,Slicer,Slicer,crownjewels,0.0,nogales,load
7/10/2025,Slicer,Slicer,Crown Jewels,0.0,San Diego,
7/10/2025,Round ,Round ,Kingdom,0.0,TEXAS,pallet
7/10/2025,Round ,Round ,Kingdom,0.0,TEXAS,pallet
7/10/2025,Round ,Round ,Kingdom,0.0,TEXAS,pallet
7/10/2025,Roma,Roma,Kaliroy,0.0,san diego,
7/10/2025,Red Bell 11lb,Red Bell 11lb,Lakeway,0.0,TEXAS,pallet
7/10/2025,Red Bell 11lb,Red Bell 11lb,"Fresh Direct, Inc.",0.0,TEXAS,pallet
7/10/2025,Red Bell 11lb,Red Bell 11lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Red Bell 11lb,Red Bell 11lb,Franks,0.0,TEXAS,pallet
7/10/2025,Pineapple,Pineapple,Chula,0.0,TEXAS,
7/10/2025,Pineapple,Pineapple,Tom Lange,0.0,TEXAS,
7/10/2025,Pineapple,Pineapple,Chula,0.0,TEXAS,
7/10/2025,Pineapple,Pineapple,Tom Lange,0.0,TEXAS,
7/10/2025,Pineapple,Pineapple,Chula,0.0,TEXAS,
7/10/2025,Pineapple Crownless,Pineapple Crownless,Kingston,0.0,Tampa,
7/10/2025,Orange Bell 25lb,Orange Bell 25lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Orange Bell 11lb,Orange Bell 11lb,"Fresh Direct, Inc.",0.0,TEXAS,pallet
7/10/2025,Orange Bell 11lb,Orange Bell 11lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,TEXAS,case
7/10/2025,Orange Bell 11lb,Orange Bell 11lb,Franks,0.0,TEXAS,pallet
7/10/2025,Orange Bell 11lb,Orange Bell 11lb,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Mini Sweets,Mini Sweets,Lakeway,0.0,TEXAS,case
7/10/2025,Mini Sweets,Mini Sweets,Terrabella GH,0.0,Arvin,pallet
7/10/2025,Mini Sweets,Mini Sweets,Terrabella GH,0.0,Los Angeles Delivered,pallet
7/10/2025,Jalapeño,Jalapeño,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Heirloom,Heirloom,REDSUN,0.0,TEXAS,pallet
7/10/2025,Grape,Grape,Kingdom,0.0,TEXAS,pallet
7/10/2025,European,European,"Grower Alliance, LLC",0.0,San Diego,
7/10/2025,Celery ,Celery ,Harvest Best LLC,0.0,TEXAS,pallet
7/10/2025,Butternut,Butternut,Vegfresh,0.0,nogales,
7/10/2025,Butternut,Butternut,Vegfresh,0.0,nogales,
7/10/2025,Butternut,Butternut,Vegfresh,0.0,nogales,
7/11/2025,Slicer,Slicer,crown jewels,0.0,nogales,pallet
7/11/2025,Slicer,Slicer,crown jewels,0.0,nogales,pallet
7/11/2025,Slicer,Slicer,crown jewels,0.0,nogales,pallet
7/11/2025,Watermelons,Watermelon Seed,Stesan,0.0,nogales,pallet
7/11/2025,Watermelons,Watermelon Seed,Stesan,0.0,nogales,pallet
7/11/2025,Watermelons,Watermelon Seed,Stesan,0.0,nogales,pallet
7/11/2025,Watermelons,Watermelon Seed,Stesan,0.0,nogales,pallet
7/11/2025,Watermelons,Watermelon Seed,Mas Melons,0.0,nogales,pallet
7/11/2025,Pineapple,Pineapple,Covilli,1.0,nogales,pallet
7/11/2025,Butternut,Butternut,Vegfresh,1.0,nogales,pallet
7/11/2025,Butternut,Butternut,Vegfresh,1.0,nogales,pallet
7/11/2025,Butternut,Butternut,Vegfresh,1.0,nogales,pallet
7/11/2025,Honeydew,Honeydew,Vegfresh,1.0,nogales,pallet
7/11/2025,Honeydew,Honeydew,Vegfresh,1.0,nogales,pallet
7/11/2025,Round ,Round ,KINGDOM,0.0,Texas,pallet
